m1_rec,m2_rec,chi1_rec,chi2_rec,snr,pipeline,HasNS_true,HasREM_true,P_NS,P_REM
137.30063,5.9753065,-0.20882814,-0.20882814,12.74754070078447,gstlal,0,0,0.014,0.0
8.951205,1.808302,-0.34052611,0.59916205,10.19440379782132,pycbc,1,0,0.9885,0.0
5.2412267,2.7847764,-0.75735396,-0.75735396,9.975057854497598,pycbc,1,0,0.9885,0.0
16.122871,1.2017719,0.30164063,0.30164063,10.99521063203837,gstlal,1,0,0.9885,0.0
4.5241542,3.1956246,-0.72990304,-0.86878514,9.416227383420727,spiir,1,0,0.9885,0.0
12.613701,1.417224,0.10311378,-0.046410572,9.978966988125498,spiir,1,0,0.9885,0.0
17.805355,1.1646861,0.51820314,0.51820314,9.53939370754622,gstlal,1,0,0.9885,0.0
6.8021093,2.7431781,0.19800727,0.65002289,17.82801222582824,pycbc,1,0,0.6201,0.0031
16.96797,1.385798,0.669013,0.0,18.625608,MBTA,1,0,0.9069,0.0922
6.8199635,2.659323,0.3375718,-0.7608242,14.6611848931628,spiir,1,0,0.5362,0.001
19.842043,1.2531319,0.7198835,0.0,17.99333662175585,pycbc,1,0,0.9882,0.0009
5.6675358,3.1948934,0.41822213,-0.27088773,18.2357487675277,spiir,1,0,0.5527,0.0028
7.0131559,2.6743464,0.69917303,-0.97332859,18.13921522872437,spiir,1,0,0.2961,0.0024
19.459028,1.2662241,0.68449217,0.68449217,18.2660447183547,gstlal,1,0,0.8953,0.0005
1.8122559,1.1235311,0.48387536,-0.89921289,9.522575439604774,pycbc,1,1,0.9885,0.9847
1.8171011,1.1206529,-0.024721349,-0.024721349,9.369017352595472,pycbc,1,1,0.9885,0.9847
1.790634,1.136218,0.007586,-0.045368,9.515479,MBTA,1,1,0.9885,0.9847
1.7098958,1.1846299,-0.04640625,-0.04640625,9.828803463532331,gstlal,1,1,0.9885,0.9847
1.8260905,1.1156417,-0.0022881024,-0.025411511,9.478150275615777,spiir,1,1,0.9885,0.9847
1.6059922,1.2612725,0.04640625,0.04640625,9.523810520526848,gstlal,1,1,0.9885,0.9847
1.629401,1.166704,0.044938,0.017492,9.83503,MBTA,1,1,0.9885,0.9847
1.4927238,1.2678789,0.01546875,0.01546875,9.787385935901526,gstlal,1,1,0.9885,0.9847
8.7706054,3.5631559,0.80837623,0.36935483,15.73811795355191,pycbc,1,0,0.6761,0.0001
5.7339215,5.2305875,0.6719448,0.6719448,15.66927872619236,pycbc,1,0,0.5415,0.0
5.960579,5.055539,0.693026,0.693026,15.700407,MBTA,1,0,0.5612,0.0
11.055814,2.8115666,0.61171138,-0.35586971,11.97796045258949,spiir,1,0,0.6427,0.0
9.1707783,3.4344852,0.71156251,0.71156251,15.72867340626426,gstlal,1,0,0.5984,0.0
19.971619,1.908113,0.83265358,-0.03357096,15.51760777199602,spiir,1,0,0.3405,0.0
43.357197,1.1507747,0.87400341,0.014613558,14.58345297220553,spiir,1,0,0.8164,0.0009
7.4610972,4.1003485,0.85538059,0.33552369,15.87533374658408,spiir,1,0,0.6824,0.0001
11.138901,3.0603321,0.97405952,0.94752002,13.11212455311008,spiir,1,0,0.7169,0.0
21.602213,1.8252836,0.82757813,0.82757813,15.44383225585049,gstlal,1,0,0.5995,0.0
176.43205,183.9621,0.97453123,0.97453123,8.841547151079771,gstlal,0,0,0.0145,0.0
165.71097,16.292215,-0.29390624,-0.29390624,8.714464241287164,gstlal,0,0,0.0123,0.0
2.556321,1.344583,-0.08347,0.0,10.193449,MBTA,1,1,0.9885,0.9847
141.73483,1.5408843,-0.17351074,-0.34092457,11.59421866850371,pycbc,0,0,0.1757,0.0
128.41545,3.325392,-0.355265,-0.355265,11.377004,MBTA,0,0,0.1691,0.0
176.43205,22.760761,0.44085938,0.44085938,11.58567937174153,gstlal,0,0,0.0452,0.0
126.12085,1.2996553,-0.3153626,0.0,11.28178438324092,pycbc,0,0,0.32,0.0
158.92799,16.292215,0.10828125,0.10828125,11.40141842191345,gstlal,0,0,0.0123,0.0
94.343584,10.913293,0.49994433,-0.66784993,10.4172509076422,pycbc,0,0,0.0123,0.0
71.723925,13.045346,0.267552,0.267552,10.458253,MBTA,0,0,0.0123,0.0
65.637016,10.905365,0.049247425,0.049247425,10.08921944638257,pycbc,0,0,0.0123,0.0
76.482292,12.678712,0.32484376,0.32484376,10.07889507730293,gstlal,0,0,0.0123,0.0
74.145454,11.475232,0.28660145,-0.7574544,10.25053864020934,spiir,0,0,0.0123,0.0
64.707939,12.678712,0.13921875,0.13921875,9.97585751606016,gstlal,0,0,0.0123,0.0
2.4253503,1.0834287,0.24846527,-0.25227282,18.26493919767267,pycbc,1,1,0.9885,0.9847
4.89395,0.62903,0.48707,0.18916,17.013453,MBTA,1,1,0.9861,0.4428
1.960342,1.308151,0.037625,0.043736,18.884238,MBTA,1,1,0.9885,0.9847
1.7775207,1.43576,0.042507116,0.042507116,17.82249002608505,pycbc,1,1,0.9885,0.9847
1.8300576,1.3947115,0.01546875,0.01546875,18.9599504833439,gstlal,1,1,0.9885,0.9847
1.8742971,1.3621347,0.016537683,-0.021772739,18.11628406300565,spiir,1,1,0.9885,0.9847
2.8087351,0.95124155,-0.04640625,-0.04640625,12.73372282561017,gstlal,1,1,0.9885,0.9847
1.7435784,1.461127,0.0,0.0,9.670043442537592,gstlal,1,1,0.9885,0.9847
1.3713683,1.8627034,0.0,0.0,10.17569136652304,pycbc,1,1,0.9885,0.9847
1.3598819,1.8807865,0.0,0.0,9.9265320614931,pycbc,1,1,0.9885,0.9847
1.8830754,1.1624903,0.42235147,-0.79006237,10.7050093784857,pycbc,1,1,0.9885,0.9847
1.955875,1.12322,0.015984,-0.033267,10.438186,MBTA,1,1,0.9885,0.9847
1.9778802,1.1108407,-0.043329649,-0.043329649,10.28074132408451,pycbc,1,1,0.9885,0.9847
2.0316169,1.0839573,-0.04640625,-0.04640625,10.58107097776972,gstlal,1,1,0.9885,0.9847
216.7751,6.8510129,0.090770877,-0.87180308,16.4661853655547,pycbc,0,0,0.0432,0.0
238.34965,5.51973,0.139038,0.139038,16.158977,MBTA,0,0,0.0123,0.0
221.88748,5.244442,0.14571781,0.14571781,16.41170045423221,pycbc,0,0,0.0124,0.0
176.43205,155.64136,0.26296875,0.26296875,16.25034474639371,gstlal,0,0,0.0427,0.0
195.86398,8.3477001,-0.38671875,-0.38671875,15.87218178493983,gstlal,0,0,0.0125,0.0
24.263199,1.6975121,-0.81655003,-0.78796135,9.312054204819912,pycbc,1,0,0.9885,0.0
54.324219,1.0179713,0.21266703,0.0,9.351779366240924,pycbc,1,0,0.9885,0.0
2.227539,1.004244,0.262437,0.0,10.869939,MBTA,1,1,0.9885,0.9847
1.6399056,1.3219914,0.04640625,0.04640625,10.73974590812453,gstlal,1,1,0.9885,0.9847
1.537771,1.4051602,0.0088855186,0.022710145,10.07180993240078,spiir,1,1,0.9885,0.9847
1.8110359,1.2033426,0.04640625,0.04640625,10.48962410317938,gstlal,1,1,0.9885,0.9847
1.1662083,1.0643173,-0.04640625,-0.04640625,9.95080736047564,gstlal,1,1,0.9885,0.9847
253.31661,38.544945,0.60098047,-0.88800397,13.84860890853119,pycbc,0,0,0.0123,0.0
282.64718,43.065802,0.771004,0.771004,14.038896,MBTA,0,0,0.0123,0.0
321.38168,126.3296,0.99138206,0.99138206,13.48498087095648,pycbc,0,0,0.0781,0.0
183.9621,176.43205,0.66515625,0.66515625,14.94665215209068,gstlal,0,0,0.0123,0.0
90.399117,14.985749,0.23203126,0.23203126,8.165820385453443,gstlal,0,0,0.0123,0.0
149.27057,111.40851,0.91265625,0.91265625,7.775884393870936,gstlal,0,0,0.0123,0.0
268.72279,2.9583539,-0.013852786,0.17917431,16.31573642781638,pycbc,0,0,0.0123,0.0
304.59393,4.7377572,0.36649284,0.36649284,16.03739445467743,pycbc,0,0,0.0431,0.0
302.79165,6.094958,0.354568,0.354568,16.547489,MBTA,0,0,0.0431,0.0
191.81351,176.43205,-0.21656249,-0.21656249,16.51114283516254,gstlal,0,0,0.0584,0.0
191.81351,176.43205,0.0309375,0.0309375,16.19465536927852,gstlal,0,0,0.0584,0.0
2.8142799,1.1660962,0.1052376,0.013865001,9.866557554148054,pycbc,1,1,0.9885,0.9847
1.9540837,1.6190909,-0.03455719,-0.03455719,9.694955589271329,pycbc,1,1,0.9885,0.9847
2.726939,1.1985,0.116136,0.0,10.235229,MBTA,1,1,0.9885,0.9847
3.3372056,1.0141082,0.17015626,0.17015626,9.722297055271587,gstlal,1,1,0.9885,0.9847
5.7100191,1.8830281,-0.29286778,-0.61851235,22.63176229863499,pycbc,1,0,0.9885,0.0
6.520452,1.695513,-0.282724,0.0,23.037709,MBTA,1,0,0.9885,0.0
3.5785086,2.8295479,-0.68059456,-0.68059456,22.5052881278046,pycbc,1,0,0.9885,0.0
3.9547653,2.5767643,-0.64968753,-0.64968753,23.51393337257988,gstlal,1,0,0.9885,0.0
4.1702862,2.4520519,-0.6927532,-0.50876319,22.80907542613789,spiir,1,0,0.9885,0.0
3.7175636,2.7079048,-0.72463721,-0.79302132,20.75245836647786,spiir,1,0,0.9297,0.0
13.856248,0.975142,0.25523436,0.25523436,18.49215450700105,gstlal,1,0,0.9885,0.0
54.746231,54.746231,-0.89718747,-0.89718747,8.026669115754208,gstlal,0,0,0.0123,0.0
127.61788,11.962016,0.0014435451,-0.39915384,54.34895788356808,pycbc,0,0,0.1422,0.0
123.70081,13.017603,-0.143512,-0.143512,29.225828,MBTA,0,0,0.0431,0.0
126.29055,14.985749,-0.01546875,-0.01546875,55.45663615292908,gstlal,0,0,0.1421,0.0
125.36811,18.160423,0.12987524,0.12987524,52.55247098953685,pycbc,0,0,0.1421,0.0
103.25758,97.242424,-0.53763956,0.97462958,52.60306395606172,spiir,0,0,0.0123,0.0
137.30063,29.247704,0.29390624,0.29390624,54.88540916540261,gstlal,0,0,0.0417,0.0
36.032599,1.2729699,0.46341777,-0.027149659,10.81037220817479,pycbc,1,0,0.9885,0.0
10.741182,2.8908863,-0.78015655,-0.78015655,10.72207752472851,pycbc,1,0,0.9381,0.0
41.416382,1.15972,0.526775,0.0,11.140215,MBTA,1,0,0.9885,0.0
9.9769306,3.0251994,-0.98306406,-0.64937282,10.89957656460634,spiir,1,0,0.7814,0.0
165.71097,121.12116,-0.97453123,-0.97453123,9.885178083404773,gstlal,0,0,0.0123,0.0
191.81351,176.43205,0.092812501,0.092812501,9.879259094912694,gstlal,0,0,0.0685,0.0
93.392575,89.729859,-0.84497048,-0.79692639,12.60407635993238,pycbc,0,0,0.0123,0.0
213.02957,75.593796,0.93541539,0.93541539,12.11330293334528,pycbc,0,0,0.0583,0.0
188.50333,65.011024,0.729064,0.729064,12.401421,MBTA,0,0,0.0864,0.0
98.280159,90.399117,-0.7734375,-0.7734375,12.64609659567715,gstlal,0,0,0.0123,0.0
97.242424,91.227272,0.076064959,-0.78068233,13.00083066356562,spiir,0,0,0.0123,0.0
146.18364,22.760761,-0.13921875,-0.13921875,12.18445939073779,gstlal,0,0,0.0123,0.0
3.261816,1.1062783,-0.06830168,0.68430964,11.30600217636337,pycbc,1,1,0.9885,0.9847
5.69165,0.72521,0.50774,-0.86359,11.133275,MBTA,1,1,0.9867,0.7149
2.675163,1.305755,-0.030502,0.0,11.893773,MBTA,1,1,0.9885,0.9847
2.3287742,1.476501,-0.12664504,0.0,11.31363331671817,pycbc,1,1,0.9885,0.9847
3.7829924,0.9828136,0.17015626,0.17015626,11.56342492908923,gstlal,1,1,0.9885,0.9847
3.2091076,1.1203626,0.093944445,0.0027624434,11.27668928394807,spiir,1,1,0.9885,0.9847
2.3334267,1.4735141,-0.11051236,-0.043956872,11.36007914334837,spiir,1,1,0.9885,0.9847
2.0126488,1.7032887,0.0017843033,0.039545927,9.468179214279052,spiir,1,1,0.9885,0.9847
3.1018374,1.1495736,0.01546875,0.01546875,10.54915791915449,gstlal,1,1,0.9885,0.9847
47.888674,17.998286,0.309622,0.309622,20.28786,MBTA,0,0,0.0123,0.0
56.054893,14.303579,0.34170386,-0.045017589,20.49449520728837,spiir,0,0,0.0123,0.0
54.746231,14.985749,0.29390624,0.29390624,20.45004549041722,gstlal,0,0,0.0123,0.0
136.68499,3.5117669,-0.21567632,-0.60882676,10.55808286911569,pycbc,0,0,0.0141,0.0
149.1155,10.78955,0.12809,0.12809,10.82611,MBTA,0,0,0.0123,0.0
145.51154,2.3538647,-0.18316452,-0.18316452,10.6043426204391,pycbc,0,0,0.098,0.0
149.27057,8.3477001,0.10054687,0.10054687,10.82694855387978,gstlal,0,0,0.0123,0.0
103.25758,97.242424,-0.53763956,0.97462958,10.00322244991111,spiir,0,0,0.0123,0.0
162.28406,22.760761,0.40992188,0.40992188,10.58142870731478,gstlal,0,0,0.0123,0.0
31.234817,1.386618,0.437067,0.0,9.266469,MBTA,1,0,0.9885,0.0
16.463337,2.0799441,-0.17015626,-0.17015626,9.489578826769169,gstlal,1,0,0.9885,0.0
2.0384432,1.8366385,-0.21984455,0.19944211,12.48949035452832,pycbc,1,1,0.9885,0.9847
6.28789,0.73256,0.52211,-0.18354,12.902871,MBTA,1,1,0.9867,0.755
1.9905369,1.8811389,-0.0061357114,-0.0061357114,12.25745324071984,pycbc,1,1,0.9885,0.9847
2.098813,1.785715,-0.018452,0.0,13.669026,MBTA,1,1,0.9885,0.9847
2.243624,1.6745352,-0.01546875,-0.01546875,14.14497031368575,gstlal,1,1,0.9885,0.9847
2.182651,1.7201185,-0.03821348,0.035056505,13.72054580207663,spiir,1,1,0.9885,0.9847
2.7372134,1.3705409,-0.64503556,-0.038040891,10.81440628187116,spiir,1,1,0.9885,0.9847
3.6480699,1.1008483,0.25298923,-0.021169944,13.31521830272764,spiir,1,1,0.9885,0.9847
3.1260757,1.2471049,0.12511355,0.0069361799,13.29678837294503,spiir,1,1,0.9885,0.9847
3.7829924,1.0797185,0.38671875,0.38671875,12.06615412973035,gstlal,1,1,0.9885,0.9847
5.7310155,2.710256,-0.89003751,-0.436453,11.13712143465229,pycbc,1,0,0.9885,0.0
8.0099382,2.0652053,-0.42502192,-0.42502192,11.03511819113355,pycbc,1,0,0.9885,0.0
4.7115641,3.2224381,-0.96113819,-0.78512585,10.71867819568737,spiir,1,0,0.9885,0.0
4.3220644,3.5070107,-0.91265625,-0.91265625,10.99944929367844,gstlal,1,0,0.9885,0.0
1.2481627,1.249794,-0.01546875,-0.01546875,9.112166305264193,gstlal,1,1,0.9885,0.9847
104.63865,94.257309,-0.71156251,-0.71156251,8.025222324184226,gstlal,0,0,0.0123,0.0
131.68057,126.29055,0.60328126,0.60328126,7.819449299766184,gstlal,0,0,0.0123,0.0
2.8671648,1.0697484,0.36951943,-0.62080533,10.16877806383736,pycbc,1,1,0.9885,0.9847
1.991544,1.476404,0.047725,0.025976,9.960327,MBTA,1,1,0.9885,0.9847
2.0210311,1.454237,0.01546875,0.01546875,10.17358138537925,gstlal,1,1,0.9885,0.9847
2.49721,1.2027943,0.11111114,0.034792509,10.02797766788546,spiir,1,1,0.9885,0.9847
1.8596622,1.5743681,0.0016354639,0.0016354639,10.10340761082352,pycbc,1,1,0.9885,0.9847
2.3150649,1.2828702,0.01546875,0.01546875,9.774023047344883,gstlal,1,1,0.9885,0.9847
2.7926123,1.1893853,0.096022913,0.2993785,12.04578875903304,pycbc,1,1,0.9885,0.9847
5.15924,0.74168,0.58401,-0.37584,11.288402,MBTA,1,1,0.9884,0.9825
2.032671,1.581715,0.124156,0.0,12.084122,MBTA,1,1,0.9885,0.9847
1.7899839,1.7899839,0.049990382,0.049990382,12.26848538991815,pycbc,1,1,0.9885,0.9847
3.5531147,0.97769254,0.26296875,0.26296875,12.29046320283334,gstlal,1,1,0.9885,0.9847
2.8658614,1.1634827,0.21652572,-0.007927211,12.22093940466709,spiir,1,1,0.9885,0.9847
3.0639458,1.0996048,0.21735182,0.02299214,11.4739760893086,spiir,1,1,0.9885,0.9847
2.664037,1.2441449,0.37301338,0.0036332246,10.28947860151633,spiir,1,1,0.9885,0.9847
2.6783526,1.1911992,-0.56209582,0.036520366,9.599903266038693,spiir,1,1,0.9885,0.9847
2.7363176,1.204915,0.01546875,0.01546875,10.30564011630314,gstlal,1,1,0.9885,0.9847
3.1779741,1.328545,-0.2540014,0.6137432,13.95463045938736,pycbc,1,1,0.9866,0.6821
6.177,0.79703,0.47468,-0.87376,13.012473,MBTA,1,1,0.9856,0.4553
4.5331869,1.0002691,0.20854414,0.0,13.78194882478628,pycbc,1,1,0.9866,0.5649
3.987043,1.103935,0.117927,0.0,13.787833,MBTA,1,1,0.9868,0.8413
4.2437544,1.0518801,0.13921875,0.13921875,14.01811564519747,gstlal,1,1,0.9868,0.6968
3.5927331,1.201315,0.062414657,0.016756218,13.89045765240211,spiir,1,1,0.9885,0.9847
2.1589818,1.8955765,0.0,0.0,8.639505109995552,pycbc,1,1,0.9885,0.9847
1.9382029,2.1079054,0.0,0.0,7.805729239107237,pycbc,1,1,0.9885,0.9847
71.915147,29.294925,0.122287,0.122287,8.437287,MBTA,0,0,0.0123,0.0
76.482292,29.247704,0.17015626,0.17015626,8.516177984192025,gstlal,0,0,0.0123,0.0
64.707939,20.935587,-0.29390624,-0.29390624,8.42262784823175,gstlal,0,0,0.0123,0.0
45.427612,6.767113,0.42698389,0.61405908,18.08776974954249,pycbc,0,0,0.0123,0.0
28.928791,9.687741,0.209236,0.209236,17.926333,MBTA,0,0,0.0123,0.0
51.46558,6.381227,0.5314694,0.5314694,18.03480176372911,pycbc,0,0,0.0123,0.0
47.306252,6.7966695,0.55013543,-0.29460865,18.13380470773617,spiir,0,0,0.0123,0.0
79.241966,5.0650158,0.77360392,-0.3467584,17.89275190785778,spiir,0,0,0.0685,0.0
50.356155,6.2303295,0.47953126,0.47953126,18.64791078145085,gstlal,0,0,0.0123,0.0
191.81351,57.082771,0.88171875,0.88171875,7.897948132340842,gstlal,0,0,0.0685,0.0
193.08118,1.9832567,-0.20060027,-0.51331815,15.73486168443811,pycbc,0,0,0.0182,0.0
184.21048,1.8806987,-0.29679915,0.0,15.66729705805308,pycbc,0,0,0.0123,0.0
191.09603,4.059306,-0.089343,-0.089343,15.654803,MBTA,0,0,0.0124,0.0
195.86398,8.3477001,-0.10828125,-0.10828125,15.83166727820051,gstlal,0,0,0.0125,0.0
195.86398,19.256769,-0.17789063,-0.17789063,15.72542438311185,gstlal,0,0,0.0125,0.0
148.45439,4.1661064,-0.52126595,-0.85482705,10.384046210617,pycbc,0,0,0.0184,0.0
145.76965,5.340451,-0.551507,-0.551507,10.521169,MBTA,0,0,0.0141,0.0
168.1528,2.5695951,-0.20773695,-0.20773695,10.55960897711391,pycbc,0,0,0.014,0.0
97.242424,91.227272,0.076064959,-0.78068233,10.98414902485852,spiir,0,0,0.0123,0.0
146.18364,8.3477001,-0.47953126,-0.47953126,11.07952442086899,gstlal,0,0,0.0123,0.0
143.80089,21.038177,0.56055915,0.56055915,11.37785642430662,pycbc,0,0,0.0123,0.0
150.20292,13.036114,0.420604,0.420604,11.352902,MBTA,0,0,0.0123,0.0
101.47933,3.6906805,-0.43834248,-0.33346605,10.69832610515457,spiir,0,0,0.0123,0.0
101.74343,5.4331994,-0.30559263,-0.47608587,10.6975871076663,spiir,0,0,0.0123,0.0
149.27057,14.985749,0.47953126,0.47953126,11.45959731986438,gstlal,0,0,0.0123,0.0
2.5314682,1.0797633,-0.0098180135,0.32546446,11.83550541937083,pycbc,1,1,0.9885,0.9847
5.17664,0.62339,0.43728,0.64017,10.505931,MBTA,1,1,0.9878,0.8939
2.02903,1.31115,-0.028083,0.0,11.463129,MBTA,1,1,0.9885,0.9847
1.997187,1.3314985,-0.0091376472,-0.0091376472,11.46763873022453,pycbc,1,1,0.9885,0.9847
2.2553759,1.1923912,0.01546875,0.01546875,12.04398783781321,gstlal,1,1,0.9885,0.9847
2.3028257,1.1709903,0.037197717,-0.0023204305,11.66261852744666,spiir,1,1,0.9885,0.9847
2.1405747,1.249794,0.01546875,0.01546875,11.98096022921731,gstlal,1,1,0.9885,0.9847
2.0167127,1.3193783,0.0,0.0,8.226632625023994,gstlal,1,1,0.9885,0.9847
261.09068,4.6262903,0.3159865,-0.79709254,15.85365397987147,pycbc,0,0,0.0123,0.0
271.5355,13.566524,0.376146,0.376146,17.020365,MBTA,0,0,0.0123,0.0
269.47562,2.7956975,0.24847186,0.24847186,15.8086916842875,pycbc,0,0,0.0123,0.0
191.81351,183.9621,0.44859374,0.44859374,17.19971589974567,gstlal,0,0,0.0583,0.0
191.81351,183.9621,0.38671875,0.38671875,17.16266935656427,gstlal,0,0,0.0583,0.0
3.0211327,2.0794777,0.10092655,-0.37777855,12.67008359317084,pycbc,1,0,0.9856,0.0968
8.51155,0.91185,0.44177,0.13334,11.179272,MBTA,1,0,0.9855,0.0451
4.900532,1.378368,0.198928,0.0,12.675887,MBTA,1,0,0.9873,0.1239
3.9136593,1.6571299,0.04640625,0.04640625,12.89026533062472,gstlal,1,0,0.9869,0.1046
4.4157834,1.4981112,0.12334634,0.0,12.56217894574657,pycbc,1,0,0.9871,0.0969
3.4694972,1.83641,-0.054325424,0.021972548,12.39410095201514,spiir,1,0,0.9853,0.0558
2.6893597,2.3133948,-0.45626467,0.21247379,11.8341511706535,spiir,1,0,0.9871,0.027
7.4803324,0.9725982,0.038671874,0.038671874,10.02642664959263,gstlal,1,0,0.9883,0.0002
2.96925,2.1240251,0.0,0.0,7.444605261346046,gstlal,1,0,0.986,0.18
1.9146071,1.2426765,-0.22176038,0.40891716,11.06006758529653,pycbc,1,1,0.9885,0.9847
2.75561,0.90934,0.34428,-0.41782,11.31718,MBTA,1,1,0.9885,0.9847
1.8302172,1.2967386,0.019221297,0.019221297,10.56801910434235,pycbc,1,1,0.9885,0.9847
2.007554,1.190461,0.036947,0.0,11.720234,MBTA,1,1,0.9885,0.9847
2.0232358,1.1821525,0.050121538,-0.0022518623,11.49000508626417,spiir,1,1,0.9885,0.9847
2.1076238,1.135605,-0.14704441,0.043132666,10.04426825671106,spiir,1,1,0.9885,0.9847
2.1405747,1.1243309,0.04640625,0.04640625,11.76513650368934,gstlal,1,1,0.9885,0.9847
2.8701896,1.424797,0.20060739,-0.49565304,21.79101386873921,pycbc,1,1,0.9871,0.9523
5.99305,0.80262,0.49769,-0.43872,19.064215,MBTA,1,1,0.9855,0.4562
2.006761,1.988921,-0.173904,0.0,21.363239,MBTA,1,1,0.9885,0.9847
4.2557874,1.031673,0.22695807,0.0,21.59791892460382,pycbc,1,1,0.9861,0.3446
3.372257,1.2432818,0.077343747,0.077343747,21.74630552796133,gstlal,1,1,0.9866,0.8269
2.49999,1.613002,-0.09985,-0.099782,9.582391,MBTA,1,1,0.9885,0.9847
2.028969,1.9649023,-0.18485156,-0.030369479,21.44558358727675,spiir,1,1,0.9885,0.9847
2.968281,1.3138717,-0.97830606,-0.042356953,12.54288124595879,spiir,1,1,0.9853,0.2743
3.5120249,1.2014219,0.11422249,-0.025449501,21.45403298711731,spiir,1,1,0.987,0.8202
2.3340642,1.7194484,0.0,0.0,11.89439802536197,gstlal,1,1,0.9885,0.9847
4.7111545,0.95248473,0.20109375,0.20109375,19.44441852506476,gstlal,1,1,0.9872,0.2579
2.9686913,1.3820322,0.0,0.0,10.13672693222662,gstlal,1,1,0.9885,0.9847
1.4595592,2.7949576,0.0,0.0,11.37981166441335,pycbc,1,1,0.9885,0.9847
2.4363397,1.6545793,0.0,0.0,11.08279014047335,pycbc,1,1,0.9885,0.9847
1.8840084,2.1199305,0.0,0.0,10.19565406060717,pycbc,1,1,0.9885,0.9847
2.1904001,1.8287838,0.0,0.0,8.516011613440837,gstlal,1,1,0.9885,0.9847
152.42268,169.21025,-0.78890628,-0.78890628,8.681303054565953,gstlal,0,0,0.0123,0.0
146.18364,169.21025,-0.85078126,-0.85078126,8.649072815960954,gstlal,0,0,0.0123,0.0
143.36443,2.8779328,-0.083404946,-0.2593479,12.5989272723655,pycbc,0,0,0.0382,0.0
143.06698,2.959984,-0.129131,-0.129131,12.721342,MBTA,0,0,0.0382,0.0
146.18364,8.3477001,-0.23203126,-0.23203126,12.96402509051099,gstlal,0,0,0.0123,0.0
138.4108,2.2506547,-0.18708856,-0.18708856,12.60163830135977,pycbc,0,0,0.216,0.0
103.25758,67.166664,-0.78793073,-0.30214167,13.13615286190116,spiir,0,0,0.0123,0.0
97.102951,1.9789025,-0.84094977,0.018890552,12.30258665485786,spiir,0,0,0.0241,0.0
137.30063,5.9753065,-0.39445314,-0.39445314,12.93130441449786,gstlal,0,0,0.0141,0.0
106.25472,7.9658074,-0.17839877,-0.17839877,10.33712865414246,pycbc,0,0,0.0123,0.0
106.26992,4.902358,-0.327115,-0.327115,9.664126,MBTA,0,0,0.014,0.0
116.16337,7.6783013,-0.01546875,-0.01546875,10.2108231418955,gstlal,0,0,0.0123,0.0
98.97998,3.0321481,-0.47704291,0.22552933,10.01333361258733,spiir,0,0,0.0123,0.0
99.914513,5.7674003,-0.38966206,-0.8887217,10.26917265602882,spiir,0,0,0.0123,0.0
98.280159,7.6783013,-0.26296875,-0.26296875,10.04897522752421,gstlal,0,0,0.0123,0.0
421.62292,77.06251,0.977679,0.977679,10.873824,MBTA,0,0,0.0431,0.0
8.8877754,4.1451516,0.21656249,0.21656249,8.680553860239261,gstlal,1,1,0.5671,0.0
14.046066,1.8975873,0.16681669,-0.24954121,10.63728711253531,pycbc,1,0,0.5527,0.0
8.3871183,2.7662425,-0.36822903,-0.36822903,10.85496537459401,pycbc,1,0,0.3376,0.0
