m1rec,m2rec,chi1rec,chi2rec,snr,pipeline,HasNS_trueSLy,HasREM_trueSLy,P_NS,P_REM
93.392575,89.729859,-0.84497,-0.796926,12.604076,pycbc,0,0,0.0014,0.0
213.02957,75.593796,0.935415,0.935415,12.113303,pycbc,0,0,0.0125,0.0
188.50333,65.011024,0.729064,0.729064,12.401421,MBTA,0,0,0.0104,0.0
98.280159,90.399117,-0.773438,-0.773438,12.646097,gstlal,0,0,0.0014,0.0
97.242424,91.227272,0.076065,-0.780682,13.000831,spiir,0,0,0.0014,0.0
146.18364,22.760761,-0.139219,-0.139219,12.184459,gstlal,0,0,0.0014,0.0
3.261816,1.106278,-0.068302,0.68431,11.306002,pycbc,1,1,0.9935,0.5518
5.69165,0.72521,0.50774,-0.86359,11.133275,MBTA,1,1,0.9946,0.1609
2.675163,1.305755,-0.030502,0.0,11.893773,MBTA,1,1,0.9977,0.997
2.328774,1.476501,-0.126645,0.0,11.313633,pycbc,1,1,0.9977,0.997
3.782992,0.982814,0.170156,0.170156,11.563425,gstlal,1,1,0.9926,0.7322
3.209108,1.120363,0.093944,0.002762,11.276689,spiir,1,1,0.9977,0.9945
2.333427,1.473514,-0.110512,-0.043957,11.360079,spiir,1,1,0.9977,0.9965
2.012649,1.703289,0.001784,0.039546,9.468179,spiir,1,1,0.9977,0.9942
3.101837,1.149574,0.015469,0.015469,10.549158,gstlal,1,1,0.9977,0.9875
47.888674,17.998286,0.309622,0.309622,20.28786,MBTA,0,0,0.0014,0.0
56.054893,14.303579,0.341704,-0.045018,20.494495,spiir,0,0,0.0014,0.0
54.746231,14.985749,0.293906,0.293906,20.450045,gstlal,0,0,0.0014,0.0
136.68499,3.511767,-0.215676,-0.608827,10.558083,pycbc,0,0,0.0046,0.0
149.1155,10.78955,0.12809,0.12809,10.82611,MBTA,0,0,0.0014,0.0
145.51154,2.353865,-0.183165,-0.183165,10.604343,pycbc,0,0,0.0339,0.0
149.27057,8.3477,0.100547,0.100547,10.826949,gstlal,0,0,0.0014,0.0
103.25758,97.242424,-0.53764,0.97463,10.003222,spiir,0,0,0.002,0.0
162.28406,22.760761,0.409922,0.409922,10.581429,gstlal,0,0,0.0014,0.0
31.234817,1.386618,0.437067,0.0,9.266469,MBTA,1,0,0.9969,0.0
16.463337,2.079944,-0.170156,-0.170156,9.489579,gstlal,1,0,0.9353,0.0
2.038443,1.836639,-0.219845,0.199442,12.48949,pycbc,1,1,0.9973,0.6698
6.28789,0.73256,0.52211,-0.18354,12.902871,MBTA,1,1,0.9876,0.3785
1.990537,1.881139,-0.006136,-0.006136,12.257453,pycbc,1,1,0.9977,0.9965
2.098813,1.785715,-0.018452,0.0,13.669026,MBTA,1,1,0.9977,0.9963
2.243624,1.674535,-0.015469,-0.015469,14.14497,gstlal,1,1,0.9977,0.997
2.182651,1.720119,-0.038213,0.035057,13.720546,spiir,1,1,0.9977,0.9945
2.737213,1.370541,-0.645036,-0.038041,10.814406,spiir,1,1,0.9977,0.4694
3.64807,1.100848,0.252989,-0.02117,13.315218,spiir,1,1,0.9977,0.9853
3.126076,1.247105,0.125114,0.006936,13.296788,spiir,1,1,0.9977,0.992
3.782992,1.079719,0.386719,0.386719,12.066154,gstlal,1,1,0.9893,0.8712
5.731015,2.710256,-0.890038,-0.436453,11.137121,pycbc,1,0,0.7857,0.0
8.009938,2.065205,-0.425022,-0.425022,11.035118,pycbc,1,0,0.8264,0.0
4.711564,3.222438,-0.961138,-0.785126,10.718678,spiir,1,0,0.7679,0.0
4.322064,3.507011,-0.912656,-0.912656,10.999449,gstlal,1,0,0.6975,0.0
1.248163,1.249794,-0.015469,-0.015469,9.112166,gstlal,1,1,0.9977,0.997
104.63865,94.257309,-0.711563,-0.711563,8.025222,gstlal,0,0,0.0014,0.0
131.68057,126.29055,0.603281,0.603281,7.819449,gstlal,0,0,0.0014,0.0
2.867165,1.069748,0.369519,-0.620805,10.168778,pycbc,1,1,0.996,0.3706
1.991544,1.476404,0.047725,0.025976,9.960327,MBTA,1,1,0.9977,0.9969
2.021031,1.454237,0.015469,0.015469,10.173581,gstlal,1,1,0.9977,0.9969
2.49721,1.202794,0.111111,0.034793,10.027978,spiir,1,1,0.9977,0.997
1.859662,1.574368,0.001635,0.001635,10.103408,pycbc,1,1,0.9977,0.9967
2.315065,1.28287,0.015469,0.015469,9.774023,gstlal,1,1,0.9977,0.9965
2.792612,1.189385,0.096023,0.299378,12.045789,pycbc,1,1,0.997,0.9463
5.15924,0.74168,0.58401,-0.37584,11.288402,MBTA,1,1,0.9293,0.433
2.032671,1.581715,0.124156,0.0,12.084122,MBTA,1,1,0.9977,0.9962
1.789984,1.789984,0.04999,0.04999,12.268485,pycbc,1,1,0.9977,0.9967
3.553115,0.977693,0.262969,0.262969,12.290463,gstlal,1,1,0.9943,0.885
2.865861,1.163483,0.216526,-0.007927,12.220939,spiir,1,1,0.9977,0.9963
3.063946,1.099605,0.217352,0.022992,11.473976,spiir,1,1,0.9977,0.997
2.664037,1.244145,0.373013,0.003633,10.289479,spiir,1,1,0.9977,0.9969
2.678353,1.191199,-0.562096,0.03652,9.599903,spiir,1,1,0.9972,0.6653
2.736318,1.204915,0.015469,0.015469,10.30564,gstlal,1,1,0.9977,0.997
3.177974,1.328545,-0.254001,0.613743,13.95463,pycbc,1,1,0.9965,0.2566
6.177,0.79703,0.47468,-0.87376,13.012473,MBTA,1,1,0.9906,0.1048
4.533187,1.000269,0.208544,0.0,13.781949,pycbc,1,1,0.9977,0.6262
3.987043,1.103935,0.117927,0.0,13.787833,MBTA,1,1,0.9977,0.776
4.243754,1.05188,0.139219,0.139219,14.018116,gstlal,1,1,0.9952,0.5247
3.592733,1.201315,0.062415,0.016756,13.890458,spiir,1,1,0.9977,0.7661
2.158982,1.895576,0.0,0.0,8.639505,pycbc,1,1,0.9977,0.9952
1.938203,2.107905,0.0,0.0,7.805729,pycbc,1,1,0.9977,0.7228
71.915147,29.294925,0.122287,0.122287,8.437287,MBTA,0,0,0.0015,0.0
76.482292,29.247704,0.170156,0.170156,8.516178,gstlal,0,0,0.0017,0.0
64.707939,20.935587,-0.293906,-0.293906,8.422628,gstlal,0,0,0.0015,0.0
45.427612,6.767113,0.426984,0.614059,18.08777,pycbc,0,0,0.0014,0.0
28.928791,9.687741,0.209236,0.209236,17.926333,MBTA,0,0,0.0014,0.0
51.46558,6.381227,0.531469,0.531469,18.034802,pycbc,0,0,0.002,0.0
47.306252,6.79667,0.550135,-0.294609,18.133805,spiir,0,0,0.0014,0.0
79.241966,5.065016,0.773604,-0.346758,17.892752,spiir,0,0,0.0014,0.0
50.356155,6.230329,0.479531,0.479531,18.647911,gstlal,0,0,0.0014,0.0
191.81351,57.082771,0.881719,0.881719,7.897948,gstlal,0,0,0.0156,0.0
193.08118,1.983257,-0.2006,-0.513318,15.734862,pycbc,0,0,0.0996,0.0
184.21048,1.880699,-0.296799,0.0,15.667297,pycbc,0,0,0.1856,0.0
191.09603,4.059306,-0.089343,-0.089343,15.654803,MBTA,0,0,0.0128,0.0
195.86398,8.3477,-0.108281,-0.108281,15.831667,gstlal,0,0,0.0088,0.0
195.86398,19.256769,-0.177891,-0.177891,15.725424,gstlal,0,0,0.009,0.0
148.45439,4.166106,-0.521266,-0.854827,10.384046,pycbc,0,0,0.0034,0.0
145.76965,5.340451,-0.551507,-0.551507,10.521169,MBTA,0,0,0.0018,0.0
168.1528,2.569595,-0.207737,-0.207737,10.559609,pycbc,0,0,0.0142,0.0
97.242424,91.227272,0.076065,-0.780682,10.984149,spiir,0,0,0.0014,0.0
146.18364,8.3477,-0.479531,-0.479531,11.079524,gstlal,0,0,0.0014,0.0
143.80089,21.038177,0.560559,0.560559,11.377856,pycbc,0,0,0.0014,0.0
150.20292,13.036114,0.420604,0.420604,11.352902,MBTA,0,0,0.0016,0.0
101.47933,3.690681,-0.438342,-0.333466,10.698326,spiir,0,0,0.0019,0.0
101.74343,5.433199,-0.305593,-0.476086,10.697587,spiir,0,0,0.0015,0.0
149.27057,14.985749,0.479531,0.479531,11.459597,gstlal,0,0,0.0014,0.0
2.531468,1.079763,-0.009818,0.325464,11.835505,pycbc,1,1,0.997,0.9476
5.17664,0.62339,0.43728,0.64017,10.505931,MBTA,1,1,0.9749,0.6029
2.02903,1.31115,-0.028083,0.0,11.463129,MBTA,1,1,0.9977,0.997
1.997187,1.331498,-0.009138,-0.009138,11.467639,pycbc,1,1,0.9977,0.997
2.255376,1.192391,0.015469,0.015469,12.043988,gstlal,1,1,0.9977,0.997
2.302826,1.17099,0.037198,-0.00232,11.662619,spiir,1,1,0.9977,0.997
2.140575,1.249794,0.015469,0.015469,11.98096,gstlal,1,1,0.9977,0.997
2.016713,1.319378,0.0,0.0,8.226633,gstlal,1,1,0.9977,0.9969
261.09068,4.62629,0.315987,-0.797093,15.853654,pycbc,0,0,0.0026,0.0
271.5355,13.566524,0.376146,0.376146,17.020365,MBTA,0,0,0.019,0.0
269.47562,2.795698,0.248472,0.248472,15.808692,pycbc,0,0,0.005,0.0
191.81351,183.9621,0.448594,0.448594,17.199716,gstlal,0,0,0.0075,0.0
191.81351,183.9621,0.386719,0.386719,17.162669,gstlal,0,0,0.0102,0.0
3.021133,2.079478,0.100927,-0.377779,12.670084,pycbc,1,0,0.9972,0.091
8.51155,0.91185,0.44177,0.13334,11.179272,MBTA,1,0,0.8722,0.037
4.900532,1.378368,0.198928,0.0,12.675887,MBTA,1,0,0.9977,0.1358
3.913659,1.65713,0.046406,0.046406,12.890265,gstlal,1,0,0.996,0.0966
4.415783,1.498111,0.123346,0.0,12.562179,pycbc,1,0,0.9977,0.1432
3.469497,1.83641,-0.054325,0.021973,12.394101,spiir,1,0,0.997,0.0951
2.68936,2.313395,-0.456265,0.212474,11.834151,spiir,1,0,0.9977,0.0909
7.480332,0.972598,0.038672,0.038672,10.026427,gstlal,1,0,0.9977,0.0005
2.96925,2.124025,0.0,0.0,7.444605,gstlal,1,0,0.9977,0.4108
1.914607,1.242676,-0.22176,0.408917,11.060068,pycbc,1,1,0.9977,0.7571
2.75561,0.90934,0.34428,-0.41782,11.31718,MBTA,1,1,0.9971,0.4722
1.830217,1.296739,0.019221,0.019221,10.568019,pycbc,1,1,0.9977,0.997
2.007554,1.190461,0.036947,0.0,11.720234,MBTA,1,1,0.9977,0.997
2.023236,1.182152,0.050122,-0.002252,11.490005,spiir,1,1,0.9977,0.997
2.107624,1.135605,-0.147044,0.043133,10.044268,spiir,1,1,0.9977,0.9963
2.140575,1.124331,0.046406,0.046406,11.765137,gstlal,1,1,0.9977,0.997
2.87019,1.424797,0.200607,-0.495653,21.791014,pycbc,1,1,0.9972,0.2143
5.99305,0.80262,0.49769,-0.43872,19.064215,MBTA,1,1,0.9799,0.2077
2.006761,1.988921,-0.173904,0.0,21.363239,MBTA,1,1,0.9977,0.9717
4.255787,1.031673,0.226958,0.0,21.597919,pycbc,1,1,0.9977,0.855
3.372257,1.243282,0.077344,0.077344,21.746306,gstlal,1,1,0.9947,0.7307
2.49999,1.613002,-0.09985,-0.099782,9.582391,MBTA,1,1,0.997,0.4745
2.028969,1.964902,-0.184852,-0.030369,21.445584,spiir,1,1,0.9977,0.9899
2.968281,1.313872,-0.978306,-0.042357,12.542881,spiir,1,1,0.9977,0.3373
3.512025,1.201422,0.114222,-0.02545,21.454033,spiir,1,1,0.9977,0.8719
2.334064,1.719448,0.0,0.0,11.894398,gstlal,1,1,0.9977,0.9955
4.711155,0.952485,0.201094,0.201094,19.444419,gstlal,1,1,0.9809,0.3991
2.968691,1.382032,0.0,0.0,10.136727,gstlal,1,1,0.9977,0.9727
1.459559,2.794958,0.0,0.0,11.379812,pycbc,1,1,0.9967,0.3393
2.43634,1.654579,0.0,0.0,11.08279,pycbc,1,1,0.9977,0.9969
1.884008,2.119931,0.0,0.0,10.195654,pycbc,1,1,0.9977,0.7233
2.1904,1.828784,0.0,0.0,8.516012,gstlal,1,1,0.9977,0.9957
152.42268,169.21025,-0.788906,-0.788906,8.681303,gstlal,0,0,0.0015,0.0
146.18364,169.21025,-0.850781,-0.850781,8.649073,gstlal,0,0,0.0014,0.0
143.36443,2.877933,-0.083405,-0.259348,12.598927,pycbc,0,0,0.0274,0.0
143.06698,2.959984,-0.129131,-0.129131,12.721342,MBTA,0,0,0.009,0.0
146.18364,8.3477,-0.232031,-0.232031,12.964025,gstlal,0,0,0.0014,0.0
138.4108,2.250655,-0.187089,-0.187089,12.601638,pycbc,0,0,0.0291,0.0
103.25758,67.166664,-0.787931,-0.302142,13.136153,spiir,0,0,0.0014,0.0
97.102951,1.978903,-0.84095,0.018891,12.302587,spiir,0,0,0.0519,0.0
137.30063,5.975307,-0.394453,-0.394453,12.931304,gstlal,0,0,0.0014,0.0
106.25472,7.965807,-0.178399,-0.178399,10.337129,pycbc,0,0,0.0015,0.0
106.26992,4.902358,-0.327115,-0.327115,9.664126,MBTA,0,0,0.0025,0.0
116.16337,7.678301,-0.015469,-0.015469,10.210823,gstlal,0,0,0.0053,0.0
98.97998,3.032148,-0.477043,0.225529,10.013334,spiir,0,0,0.011,0.0
99.914513,5.7674,-0.389662,-0.888722,10.269173,spiir,0,0,0.0014,0.0
98.280159,7.678301,-0.262969,-0.262969,10.048975,gstlal,0,0,0.0014,0.0
421.62292,77.06251,0.977679,0.977679,10.873824,MBTA,0,0,0.1362,0.0
8.887775,4.145152,0.216562,0.216562,8.680554,gstlal,1,1,0.7057,0.0
14.046066,1.897587,0.166817,-0.249541,10.637287,pycbc,1,0,0.4253,0.0
8.387118,2.766243,-0.368229,-0.368229,10.854965,pycbc,1,0,0.3333,0.0
9.912467,2.426547,-0.218444,-0.218444,11.127655,MBTA,1,0,0.4823,0.0
6.254356,3.506757,-0.59448,-0.956031,10.048959,spiir,1,0,0.2268,0.0
16.949171,1.659136,0.283172,0.012682,10.5432,spiir,1,0,0.7403,0.0
7.470342,3.044938,-0.852797,0.679473,10.722465,spiir,1,0,0.3956,0.0
8.090096,2.84566,-0.417656,-0.417656,10.926755,gstlal,1,0,0.3803,0.0
9.413827,2.454387,-0.840922,0.250495,9.854139,pycbc,1,0,0.6619,0.0
6.830194,3.337261,-0.678479,-0.678479,9.610953,pycbc,1,0,0.5235,0.0
5.108514,4.413333,-0.773438,-0.773438,9.324535,gstlal,1,0,0.392,0.0
1.876874,1.063189,0.531338,-0.894179,13.306234,pycbc,1,1,0.9946,0.394
4.13731,0.56867,0.48432,0.07427,13.277542,MBTA,1,1,0.9958,0.8288
1.506424,1.304691,0.022182,0.004918,13.155137,MBTA,1,1,0.9977,0.997
1.868703,1.067101,0.046406,0.046406,13.556418,gstlal,1,1,0.9977,0.997
1.885766,1.058243,0.044853,0.044853,13.17665,pycbc,1,1,0.9977,0.997
1.744804,1.135742,0.038387,0.044461,13.019666,spiir,1,1,0.9977,0.997
1.631361,1.209645,0.046406,0.046406,13.370295,gstlal,1,1,0.9977,0.997
294.40581,107.91155,0.997038,0.997038,8.93428,MBTA,0,0,0.1029,0.0
1.712884,1.016418,0.333637,-0.663793,24.678954,pycbc,1,1,0.9974,0.3797
2.28286,0.79389,0.22833,-0.38024,22.117761,MBTA,1,1,0.9977,0.4179
1.532386,1.125926,-0.044936,-0.044936,25.036821,pycbc,1,1,0.9977,0.997
1.484946,1.160132,-0.046406,-0.046406,25.526071,gstlal,1,1,0.9977,0.9968
1.520989,1.133613,-0.045651,-0.039839,23.681355,spiir,1,1,0.9977,0.997
1.535441,1.124808,-0.045535,0.025761,24.935021,MBTA,1,1,0.9977,0.997
1.811036,0.966268,-0.015469,-0.015469,23.657557,gstlal,1,1,0.9977,0.997
1.718647,1.013863,0.0,0.0,12.836757,gstlal,1,1,0.9977,0.997
1.504153,1.147469,0.0,0.0,15.744748,pycbc,1,1,0.9977,0.997
1.388936,1.239585,0.0,0.0,12.10438,pycbc,1,1,0.9977,0.997
1.564632,1.105262,0.0,0.0,14.759019,pycbc,1,1,0.9977,0.997
1.762381,0.990261,0.0,0.0,10.76074,gstlal,1,1,0.9977,0.997
1.728489,1.008173,0.0,0.0,10.723319,pycbc,1,1,0.9977,0.997
2.365529,1.069213,0.471097,-0.439358,32.495548,pycbc,1,1,0.9972,0.5398
4.35088,0.6644,0.63155,-0.60333,30.252093,MBTA,1,1,0.996,0.4886
2.383014,1.063023,0.332337,0.0,32.23315,MBTA,1,1,0.9977,0.9959
2.133253,1.169667,0.270372,0.0,32.355095,pycbc,1,1,0.9977,0.997
1.88833,1.301434,0.046406,0.046406,26.49419,gstlal,1,1,0.9977,0.9969
